"file_code","dataset_id","NCBI_SRA_accession","NCBI_SRA_biosample","sample_code","DNA_RNA","fraction_name","sample_fixation","reads_total","reads_corrected_total","reads_corrected_photo","reads_final","project","cruise","station_id","date","depth_level","depth","elevation","substrate","latitude","longitude","site_name","country","oceanic_region","biome","vegetation","climate","bottom_depth","temperature","salinity","ice_coverage","Chla","NO3","NH4","PO4","Si","dataset_code","dataset_name","gene","gene_region","organelle","region","ecosystem","ecosystem_climate","substrate_type","label","ss_temperature","coalesce_salinity"
"ERR4227236",205,"ERR4227236","","","DNA","total","",181813,181304,19104,NA,"Tara","Tara Oceans","TARA_137","2011-01-02","surface",5,NA,"water",14.2035,-116.626,"","","",NA,NA,"tropical",NA,26.4091,33.884425,NA,NA,3.241307,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_137-surface-water",27.5570625,33.884425
"ERR4227237",205,"ERR4227237","","","DNA","total","",182257,181603,19164,NA,"Tara","Tara Oceans","TARA_137","2011-01-02","surface",5,NA,"water",14.2035,-116.626,"","","",NA,NA,"tropical",NA,26.4091,33.884425,NA,NA,3.241307,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_137-surface-water",27.5570625,33.884425
"ERR4227238",205,"ERR4227238","","","DNA","total","",145261,144919,9758,NA,"Tara","Tara Oceans","TARA_136","2011-01-01","surface",5,NA,"water",17.0854,-118.891,"","","",NA,NA,"tropical",NA,24.52735,34.52465,NA,NA,-1.145148,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_136-surface-water",25.61275,34.52465
"ERR4227239",205,"ERR4227239","","","DNA","total","",144223,143833,9680,NA,"Tara","Tara Oceans","TARA_136","2011-01-01","surface",5,NA,"water",17.0854,-118.891,"","","",NA,NA,"tropical",NA,24.52735,34.52465,NA,NA,-1.145148,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_136-surface-water",25.61275,34.52465
"ERR4227240",205,"ERR4227240","","","DNA","total","",160866,160107,7334,NA,"Tara","Tara Oceans","TARA_138","2011-01-02","surface",5,NA,"water",6.3332,-102.943,"","","",NA,NA,"tropical",NA,26.6362,33.407042,NA,NA,-1.184318,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_138-surface-water",27.8696875,33.407042
"ERR4227241",205,"ERR4227241","","","DNA","total","",162974,162009,7511,NA,"Tara","Tara Oceans","TARA_138","2011-01-02","surface",5,NA,"water",6.3332,-102.943,"","","",NA,NA,"tropical",NA,26.6362,33.407042,NA,NA,-1.184318,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_138-surface-water",27.8696875,33.407042
"ERR4227242",205,"ERR4227242","","","DNA","total","",157865,157309,11729,NA,"Tara","Tara Oceans","TARA_139","2011-01-02","surface",5,NA,"water",6.4998,-94.9527,"","","",NA,NA,"tropical",NA,26.273758,33.102675,NA,NA,2.892241,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_139-surface-water",27.7404375,33.102675
"ERR4227243",205,"ERR4227243","","","DNA","total","",158139,157584,11945,NA,"Tara","Tara Oceans","TARA_139","2011-01-02","surface",5,NA,"water",6.4998,-94.9527,"","","",NA,NA,"tropical",NA,26.273758,33.102675,NA,NA,2.892241,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_139-surface-water",27.7404375,33.102675
"ERR4227244",205,"ERR4227244","","","DNA","total","",182657,181271,23518,NA,"Tara","Tara Oceans","TARA_140","2011-01-02","surface",5,NA,"water",7.4122,-79.3017,"","","",NA,NA,"tropical",NA,26.62925,28.919008,NA,NA,-3.796686,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_140-surface-water",27.0393333333333,NA
"ERR4227245",205,"ERR4227245","","","DNA","total","",183061,181664,23586,NA,"Tara","Tara Oceans","TARA_140","2011-01-02","surface",5,NA,"water",7.4122,-79.3017,"","","",NA,NA,"tropical",NA,26.62925,28.919008,NA,NA,-3.796686,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_140-surface-water",27.0393333333333,NA
"ERR4227246",205,"ERR4227246","","","DNA","total","",144287,142529,7334,NA,"Tara","Tara Oceans","TARA_142","2012-01-01","surface",5,NA,"water",25.5264,-88.394,"","","",NA,NA,"tropical",NA,24.96555,36.193733,NA,NA,-2.2118,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_142-surface-water",27.69075,36.193733
"ERR4227247",205,"ERR4227247","","","DNA","total","",144120,142458,7205,NA,"Tara","Tara Oceans","TARA_142","2012-01-01","surface",5,NA,"water",25.5264,-88.394,"","","",NA,NA,"tropical",NA,24.96555,36.193733,NA,NA,-2.2118,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_142-surface-water",27.69075,36.193733
"ERR4227248",205,"ERR4227248","","","DNA","total","",132604,130573,10359,NA,"Tara","Tara Oceans","TARA_141","2011-01-02","surface",5,NA,"water",9.8481,-80.0454,"","","",NA,NA,"tropical",NA,27.119358,34.347208,NA,NA,-1.723962,NA,NA,NA,"Tara_Ocean_V4","Tara Ocean - V4","18S rRNA","V4","nucleus","Ocean survey","oceanic","","water","205-Tara_Ocean_V4-TARA_141-surface-water",28.5075,34.347208
